Index,gender,survived
0,Female,1
1,Male,1
2,Male,0
3,Male,0
4,Female,0
5,Female,0
6,Female,0
7,Male,0
8,Male,1
9,Male,1
10,Female,1
11,Male,0
12,Male,0
13,Female,1
14,Female,0
15,Female,0
16,Female,1
17,Male,1
18,Female,0
19,Female,1
20,Male,0
21,Female,1
22,Female,0
23,Female,0
24,Female,0
25,Male,1
26,Female,0
27,Male,0
28,Male,1
29,Female,0
30,Male,1
31,Female,0
32,Female,1
33,Male,1
34,Male,1
35,Male,0
36,Female,1
37,Female,0
38,Male,1
39,Female,1
40,Female,1
41,Female,0
42,Female,1
43,Male,1
44,Female,0
45,Male,1
46,Female,1
47,Male,1
48,Male,0
49,Female,1
50,Male,0
51,Male,1
52,Male,0
53,Male,0
54,Male,0
55,Male,1
56,Female,0
57,Female,1
58,Female,1
59,Female,0
60,Female,0
61,Female,0
62,Male,0
63,Female,1
64,Female,1
65,Male,0
66,Female,1
67,Male,1
68,Female,1
69,Male,1
70,Male,1
71,Female,1
72,Female,1
73,Male,1
74,Male,0
75,Male,1
76,Male,1
77,Female,0
78,Female,1
79,Female,0
80,Male,0
81,Male,1
82,Female,1
83,Female,0
84,Female,0
85,Female,1
86,Male,1
87,Male,1
88,Male,0
89,Female,1
90,Female,0
91,Male,1
92,Male,1
93,Male,1
94,Male,1
95,Female,1
96,Male,1
97,Female,1
98,Female,0
99,Female,1
100,Female,1
101,Male,0
102,Female,0
103,Male,0
104,Male,0
105,Female,1
106,Female,1
107,Male,0
108,Female,0
109,Female,1
110,Female,0
111,Female,1
112,Male,1
113,Male,1
114,Male,1
115,Male,1
116,Male,1
117,Female,0
118,Male,1
119,Male,1
120,Male,0
121,Male,0
122,Female,0
123,Female,0
124,Female,0
125,Female,1
126,Male,1
127,Male,1
128,Female,1
129,Male,1
130,Female,0
131,Female,1
132,Female,1
133,Female,1
134,Male,1
135,Female,1
136,Male,0
137,Male,1
138,Female,1
139,Male,1
140,Male,0
141,Female,1
142,Female,0
143,Female,1
144,Female,1
145,Female,0
146,Male,0
147,Male,1
148,Female,0
149,Female,0
150,Male,0
151,Female,0
152,Female,0
153,Female,0
154,Male,1
155,Female,0
156,Male,1
157,Male,0
158,Female,0
159,Male,1
160,Female,0
161,Male,1
162,Male,1
163,Male,0
164,Female,1
165,Male,0
166,Female,0
167,Female,1
168,Female,1
169,Male,1
170,Male,1
171,Female,0
172,Male,1
173,Female,1
174,Male,1
175,Female,1
176,Male,0
177,Female,1
178,Male,0
179,Female,1
180,Female,0
181,Female,1
182,Male,1
183,Male,0
184,Female,1
185,Male,0
186,Male,1
187,Male,1
188,Male,1
189,Female,0
190,Female,1
191,Male,1
192,Male,1
193,Male,1
194,Female,1
195,Female,0
196,Male,0
197,Male,0
198,Male,0
199,Male,1
200,Male,0
201,Female,1
202,Female,1
203,Male,1
204,Male,1
205,Female,0
206,Female,0
207,Male,1
208,Female,1
209,Female,0
210,Male,1
211,Male,1
212,Male,1
213,Female,0
214,Male,0
215,Female,1
216,Female,1
217,Male,1
218,Male,1
219,Male,1
220,Male,0
221,Male,1
222,Female,1
223,Female,0
224,Female,1
225,Female,0
226,Male,1
227,Female,1
228,Male,0
229,Male,1
230,Male,0
231,Male,1
232,Male,1
233,Female,1
234,Female,0
235,Male,1
236,Female,0
237,Female,1
238,Male,0
239,Female,1
240,Male,0
241,Male,0
242,Male,0
243,Female,0
244,Female,0
245,Male,1
246,Female,1
247,Male,1
248,Male,0
249,Male,1
250,Female,0
251,Female,1
252,Male,1
253,Female,1
254,Female,0
255,Male,1
256,Male,1
257,Male,1
258,Male,1
259,Female,0
260,Male,1
261,Male,0
262,Female,1
263,Male,1
264,Male,1
265,Male,1
266,Male,1
267,Male,1
268,Female,0
269,Female,1
270,Male,0
271,Male,0
272,Male,0
273,Male,1
274,Male,1
275,Male,1
276,Male,1
277,Male,0
278,Male,1
279,Male,1
280,Male,1
281,Female,0
282,Female,1
283,Female,1
284,Male,1
285,Female,1
286,Female,1
287,Male,1
288,Female,1
289,Male,1
290,Female,1
291,Female,1
292,Male,1
293,Female,0
294,Female,0
295,Male,1
296,Male,1
297,Female,1
298,Male,1
299,Female,0
300,Female,1
301,Male,0
302,Male,1
303,Male,1
304,Male,0
305,Male,0
306,Male,0
307,Female,0
308,Male,1
309,Female,0
310,Female,1
311,Female,0
312,Female,1
313,Male,0
314,Male,1
315,Male,1
316,Female,1
317,Female,0
318,Female,1
319,Female,1
320,Male,1
321,Male,1
322,Male,0
323,Female,1
324,Male,0
325,Male,1
326,Male,1
327,Male,0
328,Female,0
329,Female,1
330,Female,1
331,Male,0
332,Female,1
333,Female,0
334,Female,0
335,Female,0
336,Male,1
337,Male,1
338,Female,1
339,Female,1
340,Female,1
341,Female,1
342,Female,0
343,Female,0
344,Female,0
345,Male,1
346,Male,1
347,Female,1
348,Female,0
349,Male,1
350,Male,0
351,Male,1
352,Male,1
353,Female,0
354,Female,1
355,Male,0
356,Female,0
357,Male,1
358,Male,1
359,Male,1
360,Female,0
361,Male,1
362,Female,0
363,Male,1
364,Male,0
365,Female,1
366,Male,0
367,Male,0
368,Female,1
369,Female,1
370,Female,0
371,Female,1
372,Female,0
373,Male,1
374,Female,1
375,Female,0
376,Male,1
377,Female,1
378,Male,1
379,Female,0
380,Female,1
381,Male,1
382,Male,0
383,Male,1
384,Male,1
385,Male,1
386,Female,0
387,Female,1
388,Male,0
389,Male,1
390,Male,1
391,Female,1
392,Female,1
393,Male,1
394,Female,1
395,Male,0
396,Male,1
397,Female,1
398,Male,1
399,Male,0
400,Female,1
401,Male,1
402,Male,1
403,Male,0
404,Female,0
405,Male,1
406,Female,0
407,Female,0
408,Male,1
409,Female,0
410,Female,1
411,Male,1
412,Male,1
413,Male,1
414,Male,1
415,Female,0
416,Female,1
417,Female,1
418,Male,1
419,Male,0
420,Male,1
421,Male,1
422,Female,1
423,Female,1
424,Female,0
425,Male,0
426,Female,1
427,Male,0
428,Female,0
429,Female,0
430,Female,1
431,Male,1
432,Male,1
433,Female,0
434,Female,1
435,Male,1
436,Female,1
437,Male,0
438,Male,1
439,Female,0
440,Female,0
